,Real Name,Weight and Height,Birthplace,Date of Birth,Debut,wrestler_name,Date of Death,Weight,Height
4107,Danny Plechas,,"Omaha, Nebraska (United States of America)",20th December 1916,25th September 1946 (75 years ago),Danny Plechas,20th December 1983,,
4278,Pedro Buenrostro Torres,176 lbs. (80 kg) at 5'8'' (1.73 m),"Zacoalco de Torres, Jalisco (Mexico)",19th October 1959 (age 62),25th December 1979 (42 years ago),Solar #2,,,
4291,unknown,220 lbs. (100 kg) at 5'11'' (1.80 m),Mexico,,2002,Súper Laredo,2nd September 2018,,
4573,Manny Saine,,"Philadelphia, Pennsylvania (United States of America)",,,Terry Gibbs,,,
4597,unknown,240 lbs. (109 kg) at 6'2'' (1.88 m),Brandenburg (Germany),17th June 1978 (age 43),20th April 2002 (19 years ago),Masterpiece Marsellus,,,
4687,Brady Roberts,180 lbs. (82 kg) at 5'9'' (1.75 m),"Vancouver, British Columbia (Canada)",4th April 1987 (age 34),28th February 2003 (19 years ago),Brady Roberts,,,
4744,David Barry,235 lbs. (107 kg) at 6'3'' (1.91 m),"Chatham, New Brunswick (Canada)",,1995,Quinson Valentino,,,
4900,Philip Lee Hahn,187 lbs. (85 kg) at 5'8'' (1.73 m),Mexico,5th February 1932,??th April 1954,Felipe Ham Lee,2nd March 2011,,
5151,unknown,,"Wigan, Greater Manchester, England (United Kingdom)",1988,,Matt Taylor,,179 lbs. (81 kg),
5679,unknown,201 lbs. (91 kg) at 6'1'' (1.85 m),"Lecce, Puglia (Italy)",15th February 1986 (age 36),24th June 2006 (15 years ago),Charlie Kid,,,
5717,unknown,245 lbs. (111 kg) at 6'1'' (1.85 m),"Netherton, West Midlands, England (United Kingdom)",17th June 1986 (age 35),,Saul Adams,,,
5767,unknown,280 lbs. (127 kg) at 6'6'' (1.98 m),"Walsall, West Midlands, England (United Kingdom)",1987,21st November 2003 (18 years ago),Kade Callous,,,
5769,unknown,205 lbs. (93 kg) at 6'0'' (1.83 m),"Birmingham, West Midlands, England (United Kingdom)",28th December 1987 (age 34),25th January 2003 (19 years ago),Marcus Kool,,,
5843,unknown,125 lbs. (57 kg) at 5'2'' (1.57 m),"Leigh, Greater Manchester, England (United Kingdom)",6th September 1986 (age 35),,Roxi ,,,
5892,unknown,198 lbs. (90 kg) at 5'11'' (1.80 m),"Lowell, Massachusetts (United States of America)",,2002,Matt Logan,,,
6142,Scott Gunton,176 lbs. (80 kg) at 5'8'' (1.73 m),"Norwich, Norfolk, England (United Kingdom)",4th September 1987 (age 34),19th March 2005 (16 years ago),Scott Fusion,,,
6398,unknown,202 lbs. (92 kg) at 5'10'' (1.78 m),"Atlanta, Georgia (United States of America)",29th May 1978 (age 43),1st June 1996 (25 years ago),Adam Jacobs,,,
6841,unknown,409 lbs. (186 kg) at 7'0'' (2.13 m),"Ballymena, Antrim, Northern Ireland (United Kingdom)",16th July 1984 (age 37),2004,Tron,,,
7483,unknown,225 lbs. (102 kg) at 5'7'' (1.70 m),"Washington, District of Columbia (United States of America)",,,Boogalou,,,
7524,Eric Verbel,,"New York City, New York (United States of America)",,15th August 1970 (51 years ago),Jack Evans,,,
7550,Gustav Adolf Sonnenberg,,United States of America,6th March 1898,,Gus Sonnenberg,9th September 1944,,
7602,unknown,,"Sheffield, South Yorkshire, England (United Kingdom)",30th August 1982 (age 39),22nd September 2007 (14 years ago),Aaron James,,,
7839,unknown,200 lbs. (91 kg) at 5'7'' (1.70 m),"Uxbridge, Ontario (Canada)",22nd July 1980 (age 41),29th October 1999 (22 years ago),TJ Harley,,,
8064,Tobias Todorovic,181 lbs. (82 kg) at 5'10'' (1.78 m),Rheinland-Pfalz (Germany),1989,15th December 2007 (14 years ago),Impulz,,,
8191,unknown,,Ontario (Canada),29th March 1981 (age 40),23rd September 2000 (21 years ago),Jessy Jones,,,5'11'' (1.80 m)
8286,Eduardo Arturo Sánchez,245 lbs. (111 kg) at 6'2'' (1.88 m),"San Diego, California (United States of America)",4th November 1982 (age 39),28th February 2004 (18 years ago),Eddie Sánchez,,,
8805,Kyle Kristensen,182 lbs. (83 kg) at 6'3'' (1.91 m),"Provo, Utah (United States of America)",,,Kyle Sebastian,,,
9035,Paulo Fernando de Souza Leite Filho,185 lbs. (84 kg) at 5'8'' (1.73 m),"Río de Janeiro, Río de Janeiro (Brazil)",24th May 1978 (age 43),24th July 2000 (21 years ago),Paulo Filho,,,
9381,Rebecca Mason,112 lbs. (51 kg) at 5'4'' (1.63 m),"Cardiff, Cardiff, Wales (United Kingdom)",2nd November 1986 (age 35),??th December 2007,Becky James ,,,
9637,Jase Prince,,United Kingdom,,,Jase the Ace,,,
9756,unknown,215 lbs. (98 kg) at 5'10'' (1.78 m),"Saint-Damase, Quebec (Canada)",,,Gorgeous Mike,,,
9820,Robert Michael Emerson,155 lbs. (70 kg) at 5'9'' (1.75 m),"Huntington Beach, California (United States of America)",30th July 1981 (age 40),29th June 2002 (19 years ago),Rob Emerson,,,
9878,Angelina Moreno,150 lbs. (68 kg) at 5'6'' (1.68 m),"San Antonio, Texas (United States of America)",3rd February 1986 (age 36),2006,Pink ,,,
9928,Eric John Schafer,185 lbs. (84 kg) at 6'3'' (1.91 m),"Fond du Lac, Wisconsin (United States of America)",20th September 1977 (age 44),27th June 1998 (23 years ago),Eric Schafer,,,
10222,John Candito,243 lbs. (110 kg) at 6'2'' (1.88 m),"Spring Lake, New Jersey (United States of America)",11th June 1982 (age 39),,Johnny Candido,,,
10253,Robert A. Leo,300 lbs. (136 kg) at 7'2'' (2.18 m),,23rd June 1964,,Killer Kowalski Jr.,5th September 2008,,
10551,Kenny Luah,260 lbs. (118 kg) at 6'2'' (1.88 m),British Columbia (Canada),,,Kenny Lush,,,
10911,unknown,203 lbs. (92 kg) at 6'1'' (1.85 m),United Kingdom,,,Owen Spellbound,,,
10948,Jake Rosholt,185 lbs. (84 kg) at 6'1'' (1.85 m),"Stillwater, Oklahoma (United States of America)",9th February 1982 (age 40),21st July 2007 (14 years ago),Jake Rosholt,,,
11523,unknown,168 lbs. (76 kg) at 5'0'' (1.52 m),"Guadalajara, Jalisco (Mexico)",20th February 1985 (age 37),17th June 2000 (21 years ago),Virgo,,,
12113,unknown,,"Wigan, Greater Manchester, England (United Kingdom)",27th February 1984 (age 38),,Carl Clinch,,,5'10'' (1.78 m)
12166,Gordon Elrick,240 lbs. (109 kg) at 6'0'' (1.83 m),"Fraserburgh, Aberdeenshire, Scotland (United Kingdom)",,2008,Jason Rotanda,,,
12266,Neil Grove,265 lbs. (120 kg) at 6'6'' (1.98 m),Klerksdorp (South Africa),18th January 1971 (age 51),26th November 2006 (15 years ago),Neil Grove,,,
12506,unknown,240 lbs. (109 kg) at 6'3'' (1.91 m),"Plano, Texas (United States of America)",12th January ???,2001,Michael Barry,,,
12808,unknown,170 lbs. (77 kg) at 5'11'' (1.80 m),"Santa Anita, Jalisco (Mexico)",23rd April 1985 (age 36),??th February 2009,El Hierro,,,
12815,José Manuel Campos Órnelas,190 lbs. (86 kg) at 5'7'' (1.70 m),"Guadalajara, Jalisco (Mexico)",4th August 1992 (age 29),2009,Jocker,,,
12828,Ron Humphrey,205 lbs. (93 kg) at 5'11'' (1.80 m),"Atlanta, Georgia (United States of America)",,21st May 2003 (18 years ago),Abongo Humphrey,,,
13473,unknown,,,1938,,Bobby Hart,2001,,
13607,unknown,137 lbs. (62 kg) at 5'9'' (1.75 m),"Runcorn, Cheshire, England (United Kingdom)",,2006,Corey E,,,
14144,Kenji Sawaragi,183 lbs. (83 kg) at 5'7'' (1.70 m),"Nishinomiya, Hyogo (Japan)",17th June 1981 (age 40),18th July 2004 (17 years ago),Kamui,,,
14174,Masato Shibata,309 lbs. (140 kg) at 5'11'' (1.80 m),Japan,13th September 1978 (age 43),17th December 2003 (18 years ago),MJ Paul,,,
14217,unknown,150 lbs. (68 kg) at 5'7'' (1.70 m),United Kingdom,,2004,Ashton Brown,,,
14969,Mackens Semerzier,145 lbs. (66 kg) at 5'9'' (1.75 m),"Miami, Florida (United States of America)",3rd November 1980 (age 41),27th September 2008 (13 years ago),Mackens Semerzier,,,
14973,David Hendrik Jansen,155 lbs. (70 kg) at 5'9'' (1.75 m),"Portland, Oregon (United States of America)",21st August 1979 (age 42),6th January 2007 (15 years ago),Dave Jansen,,,
15028,Michael Hogewood,,"Greensboro, North Carolina (United States of America)",13th September 1954,28th February 2009 (13 years ago),Mike Hogewood,5th September 2018,,
15601,unknown,,"Tulancingo de Bravo, Hidalgo (Mexico)",22nd March 1991 (age 30),,Black Fire,,,
15602,Peter Josef Schmidtke,260 lbs. (118 kg) at 6'6'' (1.98 m),"Milford, Connecticut (United States of America)",22nd December 1976 (age 45),,Josef von Schmidt,,,
16600,unknown,,Mexico,29th March 1991 (age 30),,Lasser Boy,,,
17640,Gabe Ruediger,155 lbs. (70 kg) at 5'10'' (1.78 m),"Topanga, California (United States of America)",29th August 1977 (age 44),18th October 2002 (19 years ago),Gabe Ruediger,,,
18189,Walandi Tsantiris,,"Wedel, Schleswig-Holstein (Germany)",11th June 1981 (age 40),,Walandi Tsanti,,,
18219,unknown,,,,,William Tabb,,,
18695,Jesse Bongfeldt,185 lbs. (84 kg) at 6'0'' (1.83 m),"Kenora, Ontario (Canada)",,5th October 2002 (19 years ago),Jesse Bongfeldt,,,
19006,Gery Roif,170 lbs. (77 kg) at 6'0'' (1.83 m),Netanya (Israel),16th January 1981 (age 41),2002,Gery Roif,,,
19112,unknown,207 lbs. (94 kg) at 6'0'' (1.83 m),"Utica, Michigan (United States of America)",28th March 1988 (age 33),??th June 2007,Justin Mane,,,
19634,Reuben Duran,135 lbs. (61 kg) at 5'7'' (1.70 m),"Ontario, California (United States of America)",2nd July 1983 (age 38),12th May 2006 (15 years ago),Reuben Duran,,,
19728,Christian M'Pumbu,205 lbs. (93 kg) at 6'2'' (1.88 m),Kinshasa (Democratic Republic of the Congo),2nd June 1977 (age 44),30th May 2004 (17 years ago),Christian M'Pumbu,,,
19857,unknown,,"Tyne and Wear, England (United Kingdom)",,,Lowthian,,,6'5'' (1.96 m)
19987,Demond Thompson,180 lbs. (82 kg) at 5'6'' (1.68 m),"Jeffersonville, Indiana (United States of America)",1975,2000,Mo Green,,,
20399,Aya Koyama,125 lbs. (57 kg) at 5'3'' (1.60 m),"Wakayama, Wakayama (Japan)",8th March 1973,14th April 1996 (25 years ago),Ariya ,27th August 2018,,
21010,unknown,243 lbs. (110 kg) at 6'5'' (1.96 m),"Preston, Lancashire, England (United Kingdom)",,,Shaun Davis,,,
22310,Jake Hecht,170 lbs. (77 kg) at 6'0'' (1.83 m),"St. Louis, Missouri (United States of America)",9th February 1984 (age 38),3rd February 2006 (16 years ago),Jake Hecht,,,
22665,Ryan Jimmo,205 lbs. (93 kg) at 6'2'' (1.88 m),"Saint John, New Brunswick (Canada)",27th November 1981,3rd February 2007 (15 years ago),Ryan Jimmo,26th June 2016,,
22851,Anton Kuivanen,155 lbs. (70 kg) at 5'8'' (1.73 m),Pärnu (Estonia),1st May 1984 (age 37),14th January 2006 (16 years ago),Anton Kuivanen,,,
23354,Besam Yousef,170 lbs. (77 kg) at 5'11'' (1.80 m),Al-Hasaka (Syria),25th March 1985 (age 36),10th May 2008 (13 years ago),Besam Yousef,,,
23539,unknown,170 lbs. (77 kg) at 5'9'' (1.75 m),"Perth, Western Australia (Australia)",,,Julian Ross,,,
23616,unknown,,"Luton, Bedfordshire, England (United Kingdom)",,,Christopher Starr,,,
24526,unknown,,United States of America,,,Ace Trybo,,,
24906,Tom Watson,185 lbs. (84 kg) at 6'1'' (1.85 m),"Southampton, Hampshire, England (United Kingdom)",13th July 1982 (age 39),19th February 2006 (16 years ago),Tom Watson,,,
25094,unknown,218 lbs. (99 kg) at 6'4'' (1.93 m),"Thionville, Grand Est (France)",14th February 1987 (age 35),2008,Lucas Di Léo,,,
25253,unknown,272 lbs. (123 kg) at 6'2'' (1.88 m),"Halifax, Nova Scotia (Canada)",,,Jack Hammer,,,
26361,unknown,252 lbs. (114 kg) at 6'3'' (1.91 m),"Detroit, Michigan (United States of America)",,,Benjamin Boone,,,
27522,unknown,168 lbs. (76 kg) at 5'9'' (1.75 m),"Rancagua, Región del Libertador General Bernardo OHiggins (Chile)",16th September 1987 (age 34),14th August 2005 (16 years ago),Diego,,,
28648,unknown,132 lbs. (60 kg) at 4'11'' (1.50 m),"Tagawa, Fukuoka (Japan)",20th January 1998 (age 24),4th November 2013 (8 years ago),Koguma ,,,
28721,unknown,,,,,Randy Summers,,,
31751,Pyo Watanabe,161 lbs. (73 kg) at 5'4'' (1.63 m),"Toyohashi, Aichi (Japan)",4th January 1997 (age 25),26th February 2016 (6 years ago),H.Y.O.,,,
31752,Yuki Yoshioka,172 lbs. (78 kg) at 5'8'' (1.73 m),"Ogaki, Gifu (Japan)",14th September 1994 (age 27),15th August 2016 (5 years ago),Yuki Yoshioka,,,
32161,unknown,130 lbs. (59 kg) at 5'6'' (1.68 m),"Shimotsuke, Tochigi (Japan)",11th August 2004 (age 17),9th April 2017 (4 years ago),Hanan ,,,
34321,unknown,121 lbs. (55 kg) at 5'5'' (1.65 m),"Bergamo, Lombardia (Italy)",,29th August 2015 (6 years ago),Francesco Akira,,,
35582,unknown,126 lbs. (57 kg) at 5'3'' (1.60 m),Osaka (Japan),10th August 2004 (age 17),6th April 2017 (4 years ago),Manami ,,,
468,Stephen Paul Keirn,215 lbs. (98 kg) at 6'0'' (1.83 m),"Tampa, Florida (United States of America)",10th September 1951 (age 70),1972,Steve Keirn,,,
2820,unknown,148 lbs. (67 kg) at 5'3'' (1.60 m),"Tijuana, Baja California (Mexico)",4th April 1981 (age 40),13th September 1998 (23 years ago),Extreme Tiger,,,
872,Allen James Coage,255 lbs. (116 kg) at 6'2'' (1.88 m),"New York City, New York (United States of America)",22nd October 1943,24th October 1977 (44 years ago),Bad News Brown,6th March 2007,,
181,James Maritato,201 lbs. (91 kg) at 5'6'' (1.68 m),"New York City, New York (United States of America)",12th March 1972 (age 49),??th September 1991,Nunzio,,,
3091,Edgar Gabriel Morales Correa,165 lbs. (75 kg) at 5'7'' (1.70 m),"Ciudad de México, Ciudad de México (Mexico)",10th March 1972 (age 50),3rd May 1993 (28 years ago),Loco Max,,,
7742,Kevin Ferguson,225 lbs. (102 kg) at 6'2'' (1.88 m),Nassau (Bahamas),8th February 1974,10th November 2007 (14 years ago),Kimbo Slice,6th June 2016,,
2003,Alex Sherman,190 lbs. (86 kg) at 5'9'' (1.75 m),Moldova,21st January 1984 (age 38),23rd May 2003 (18 years ago),Alex Koslov,,,
2329,Anthony Carelli,225 lbs. (102 kg) at 5'10'' (1.78 m),"Mississauga, Ontario (Canada)",14th March 1974 (age 47),2003,Santino Marella,,,
56,Robert Rechsteiner,280 lbs. (127 kg) at 6'0'' (1.83 m),"Bay City, Michigan (United States of America)",9th March 1961 (age 61),1983,Rick Steiner,,,
230,Kevin Canady,230 lbs. (104 kg) at 5'10'' (1.78 m),"Flora, Illinois (United States of America)",24th June 1969 (age 52),24th June 1989 (32 years ago),Mad Man Pondo,,,
136,Salvador Guerrero IV.,210 lbs. (95 kg) at 5'9'' (1.75 m),"El Paso, Texas (United States of America)",20th October 1970 (age 51),??th May 1994,Chavo Guerrero Jr.,,,
28246,Quinn Ojinnaka,300 lbs. (136 kg) at 6'5'' (1.96 m),"Seabrook, Maryland (United States of America)",23rd April 1984 (age 37),2013,Moose,,,
2293,Brian Myers,223 lbs. (101 kg) at 6'1'' (1.85 m),"Glen Cove, New York (United States of America)",20th April 1985 (age 36),2004,Brian Myers,,,
213,Torrie Anne Wilson,128 lbs. (58 kg) at 5'9'' (1.75 m),"Boise, Idaho (United States of America)",24th July 1975 (age 46),8th February 1999 (23 years ago),Torrie Wilson ,,,
47,Monty Sopp,260 lbs. (118 kg) at 6'3'' (1.91 m),"Orlando, Florida (United States of America)",1st November 1963 (age 58),1985,Billy Gunn,,,
717,José Luis Alvarado Nieves,353 lbs. (160 kg) at 5'9'' (1.75 m),Mexico,19th March 1963,21st January 1977 (45 years ago),Brazo de Plata,26th July 2021,,
2485,Dulce Maria García Rivas,126 lbs. (57 kg) at 5'3'' (1.60 m),"Monterrey, Nuevo León (Mexico)",20th September 1982 (age 39),2005,Sexy Dulce ,,,
1330,Antonio Gómez Medina,183 lbs. (83 kg) at 5'7'' (1.70 m),"Totatiche, Jalisco (Mexico)",11th September 1970 (age 51),11th November 1989 (32 years ago),Máscara Mágica,,,
746,Bruce Reed,260 lbs. (118 kg) at 6'2'' (1.88 m),"Kansas City, Missouri (United States of America)",11th July 1954,1978,Butch Reed,5th February 2021,,
738,Octavio López Arreola,234 lbs. (106 kg) at 6'0'' (1.83 m),"Aguascalientes, Aguascalientes (Mexico)",12th April 1975 (age 46),??th March 1992,Cibernético,,,
3259,Miguel Aaron López Hernández,,"San Diego, California (United States of America)",??th February 1989,??th April 2006,Rey Misterio Heredero,,,
1970,Robin Denise Smith,145 lbs. (66 kg) at 5'8'' (1.73 m),"Hammond, Louisiana (United States of America)",9th October 1964 (age 57),1986,Rockin' Robin ,,,
1576,unknown,189 lbs. (86 kg) at 5'8'' (1.73 m),"Jalapa, Veracruz de Ignacio de la Llave (Mexico)",27th March 1961 (age 60),6th December 1981 (40 years ago),Octagón,,,
92,Robert William Howard,235 lbs. (107 kg) at 6'0'' (1.83 m),"Glendale, California (United States of America)",29th January 1963 (age 59),1987,Hardcore Holly,,,
43,Peter Polacko,225 lbs. (102 kg) at 5'11'' (1.80 m),"Waterbury, Connecticut (United States of America)",16th October 1973 (age 48),16th October 1992 (29 years ago),Justin Credible,,,
1094,Prince Nana Osei Bandoh,235 lbs. (107 kg) at 5'11'' (1.80 m),Ghana,1977,1996,Prince Nana,,,
2383,Robert Duncum Sr.,255 lbs. (116 kg) at 6'3'' (1.91 m),"Austin, Texas (United States of America)",14th August 1944 (age 77),??th December 1966,Bobby Duncum,,,
2449,unknown,185 lbs. (84 kg) at 5'9'' (1.75 m),"Neustadt an der Weinstraße, Rheinland-Pfalz (Germany)",22nd November ???,19th January 2003 (19 years ago),Tarkan Aslan,,,
291,Leonard Carlson Jr.,212 lbs. (96 kg) at 5'10'' (1.78 m),"Hibbing, Minnesota (United States of America)",20th October 1970 (age 51),28th January 1995 (27 years ago),Lenny,,,
579,Alicia Nicole Webb,103 lbs. (47 kg) at 5'5'' (1.65 m),"Houston, Texas (United States of America)",4th May 1979 (age 42),??th December 1998,Alicia Webb,,,
3005,Heath Wallace Miller,216 lbs. (98 kg) at 6'2'' (1.88 m),"Pineville, West Virginia (United States of America)",15th July 1983 (age 38),??th August 2004,Heath,,,
1020,Thomas Richardson,240 lbs. (109 kg) at 6'3'' (1.91 m),"Hendersonville, Tennessee (United States of America)",26th July 1956 (age 65),1974,Tommy Rich,,,
4609,Viktor Krüger,280 lbs. (127 kg) at 6'8'' (2.03 m),"Graz, Steiermark (Austria)",,,Viktor Krüger,,,
12307,Carl Jamar Wilson,174 lbs. (79 kg) at 6'0'' (1.83 m),"Augusta, Georgia (United States of America)",21st February 1984 (age 38),2000,Pineapple Pete,,,
583,Thomas Prichard,230 lbs. (104 kg) at 5'10'' (1.78 m),"Pasadena, Texas (United States of America)",18th August 1959 (age 62),20th October 1979 (42 years ago),Tom Prichard,,,
406,Louis M. Mucciolo Jr.,248 lbs. (112 kg) at 5'10'' (1.78 m),"Los Angeles, California (United States of America)",10th February 1971,5th May 1988 (33 years ago),Louie Spicolli,15th February 1998,,
521,Shinya Makabe,242 lbs. (110 kg) at 5'11'' (1.80 m),"Sagamihara, Kanagawa (Japan)",29th September 1972 (age 49),15th February 1997 (25 years ago),Togi Makabe,,,
1010,Richard Van Slater,235 lbs. (107 kg) at 6'1'' (1.85 m),"Dallas, Texas (United States of America)",19th March 1953,1970,Dick Slater,18th October 2018,,
1129,Christopher Kindred,232 lbs. (105 kg) at 6'2'' (1.88 m),"Indianapolis, Indiana (United States of America)",6th April 1966 (age 55),1992,Flash Flanagan,,,
2272,Neil Felzenstein,244 lbs. (111 kg) at 5'9'' (1.75 m),"Montréal, Quebec (Canada)",1981,,Beef Wellington,,,
26400,Thomas Pestock,285 lbs. (129 kg) at 6'8'' (2.03 m),"Lenexa, Kansas (United States of America)",13th September 1984 (age 37),18th October 2012 (9 years ago),Happy Corbin,,,
42,John Watson,187 lbs. (85 kg) at 5'7'' (1.70 m),"Buffalo, New York (United States of America)",4th June 1973 (age 48),??th January 1994,Mikey Whipwreck,,,
483,Kim Nielsen,145 lbs. (66 kg) at 5'8'' (1.73 m),"Falmouth, Michigan (United States of America)",2nd July 1973 (age 48),2001,Desire ,,,
1247,unknown,195 lbs. (88 kg) at 5'9'' (1.75 m),"Kalamazoo, Michigan (United States of America)",13th April 1984 (age 37),??th February 2003,Josh Raymond,,,
3226,Jerry W. Jarrett,189 lbs. (86 kg) at 5'7'' (1.70 m),"Nashville, Tennessee (United States of America)",4th September 1942 (age 79),1965,Jerry Jarrett,,,
6947,Matthew John Serra,170 lbs. (77 kg) at 5'6'' (1.68 m),"New York City, New York (United States of America)",2nd June 1974 (age 47),21st August 1999 (22 years ago),Matt Serra,,,
8548,Melvin Paul Guillard Jr.,155 lbs. (70 kg) at 5'9'' (1.75 m),"New Orleans, Louisiana (United States of America)",30th March 1983 (age 38),16th November 2002 (19 years ago),Melvin Guillard,,,
978,Candice Michelle Beckman-Ehrlich,120 lbs. (54 kg) at 5'7'' (1.70 m),"Milwaukee, Wisconsin (United States of America)",30th September 1978 (age 43),15th November 2004 (17 years ago),Candice Michelle ,,,
3865,Gurvinder Sihra,159 lbs. (72 kg) at 5'10'' (1.78 m),"Burnaby, British Columbia (Canada)",13th November 1984 (age 37),??th October 2005,Sunil Singh,,,
12289,Paulo Thiago Alencar Artunes,170 lbs. (77 kg) at 5'11'' (1.80 m),"Brasília, Distrito Federal (Brazil)",25th January 1981 (age 41),2nd July 2005 (16 years ago),Paulo Thiago,,,
5604,Barri Griffiths,298 lbs. (135 kg) at 6'6'' (1.98 m),"Porthmadog, Gwynedd, Wales (United Kingdom)",13th January 1982 (age 40),2007,Mason Ryan,,,
1408,Floyd Gerald Brisco,209 lbs. (95 kg) at 6'2'' (1.88 m),"Oklahoma City, Oklahoma (United States of America)",19th September 1946 (age 75),1967,Jerry Brisco,,,
1756,Pezavan Whatley,250 lbs. (113 kg) at 5'10'' (1.78 m),"Chattanooga, Tennessee (United States of America)",10th January 1951,1972,Pez Whatley,18th January 2005,,
3235,Keith William Hart,207 lbs. (94 kg) at 5'11'' (1.80 m),"Calgary, Alberta (Canada)",21st August 1952 (age 69),18th May 1973 (48 years ago),Keith Hart,,,
14094,Nobuo Yoshihashi,198 lbs. (90 kg) at 5'11'' (1.80 m),Aichi (Japan),25th May 1982 (age 39),6th July 2008 (13 years ago),YOSHI-HASHI,,,
10492,Benny Loyd McCrary,,"Hendersonville, North Carolina (United States of America)",7th December 1946,,Benny McGuire,26th March 2001,814 lbs. (369 kg),
13584,April Howe,147 lbs. (67 kg) at 5'1'' (1.55 m),"Wigan, Greater Manchester, England (United Kingdom)",12th December 1990 (age 31),2007,April Davids ,,,
16148,Ettore Ewen,285 lbs. (129 kg) at 5'11'' (1.80 m),"Tampa, Florida (United States of America)",1st March 1986 (age 36),5th November 2009 (12 years ago),Big E,,,
2907,Ángel Omar Reyes Franco,225 lbs. (102 kg) at 6'0'' (1.83 m),"Lagos de Moreno, Jalisco (Mexico)",16th January 1977 (age 45),??th August 2002,El Capo Mayor,,,
7053,Lauren Brooke Thompson,110 lbs. (50 kg) at 5'6'' (1.68 m),"Orlando, Florida (United States of America)",30th July 1982 (age 39),13th April 2008 (13 years ago),Lauren Brooke Thompson,,,
759,James Ware,229 lbs. (104 kg) at 5'9'' (1.75 m),"Union City, Tennessee (United States of America)",20th June 1957 (age 64),1978,Koko B. Ware,,,
1049,Tokimitsu Ishizawa,203 lbs. (92 kg) at 5'11'' (1.80 m),"Fujisaki, Aomori (Japan)",5th August 1968 (age 53),21st September 1992 (29 years ago),Kendo KaShin,,,
1385,Michael Mayo Jr.,225 lbs. (102 kg) at 5'11'' (1.80 m),"New York City, New York (United States of America)",22nd October ???,1999,Mike Kruel,,,
1531,Richard McGraw,236 lbs. (107 kg) at 5'6'' (1.68 m),"Charlotte, North Carolina (United States of America)",19th March 1955,1975,Rick McGraw,1st November 1985,,
1845,Jens Johnnie Pulver,145 lbs. (66 kg) at 5'7'' (1.70 m),"Sunnyside, Washington (United States of America)",6th December 1974 (age 47),24th April 1999 (22 years ago),Jens Pulver,,,
9230,Ben Rothwell,260 lbs. (118 kg) at 6'4'' (1.93 m),"Kenosha, Wisconsin (United States of America)",17th October 1981 (age 40),6th January 2001 (21 years ago),Ben Rothwell,,,
10491,Billy Leon McCrary,,"Hendersonville, North Carolina (United States of America)",7th December 1946,,Billy McGuire,14th July 1979,784 lbs. (356 kg),
18153,Max Edmund Palmer,415 lbs. (188 kg) at 8'2'' (2.49 m),"Pontotoc, Mississippi (United States of America)",27th November 1927,,Paul Bunyan,7th May 1984,,
35604,Mansoor Al-Shehail,190 lbs. (86 kg) at 6'0'' (1.83 m),"Riad, Riad (Saudi Arabia)",28th October 1995 (age 26),,Mansoor,,,
10188,Erkan Sulcani,209 lbs. (95 kg) at 6'7'' (2.01 m),"Berlin, Berlin (Germany)",18th September 1989 (age 32),28th June 2008 (13 years ago),Erkan Sulcani,,,
27759,Leah Van Dale,110 lbs. (50 kg) at 5'5'' (1.65 m),"Spencer, Massachusetts (United States of America)",23rd October 1987 (age 34),6th June 2014 (7 years ago),Carmella ,,,
198,John Kashmer,192 lbs. (87 kg) at 6'0'' (1.83 m),"Burlington, New Jersey (United States of America)",6th November 1978 (age 43),1998,Johnny Kashmere,,,
1335,José Miguel Pérez Jr.,259 lbs. (117 kg) at 6'0'' (1.83 m),Carolina (Puerto Rico),22nd April 1966 (age 55),22nd December 1984 (37 years ago),Miguel Pérez Jr.,,,
70,Daniel Morrison,202 lbs. (92 kg) at 5'10'' (1.78 m),"Wildwood, New Jersey (United States of America)",19th February 1974 (age 48),7th May 1997 (24 years ago),Danny Doring,,,
1983,Ryan Parmeter,265 lbs. (120 kg) at 6'3'' (1.91 m),"Boston, Massachusetts (United States of America)",6th February 1980 (age 42),2001,Big Kon,,,
187,Charles John Spencer,219 lbs. (99 kg) at 5'11'' (1.80 m),"New York City, New York (United States of America)",19th July 1977 (age 44),1998,Tony Mamaluke,,,
1634,Jordan Danyluk,215 lbs. (98 kg) at 6'0'' (1.83 m),"Edmonton, Alberta (Canada)",17th September 1982 (age 39),4th November 2001 (20 years ago),JD Maverick,,,
2223,Tsutomu Hirayanagi,170 lbs. (77 kg) at 5'6'' (1.68 m),"Kawaguchi, Saitama (Japan)",6th March 1980 (age 42),15th August 2005 (16 years ago),Genba Hirayanagi,,,
2885,Yan Yinling,112 lbs. (51 kg) at 5'4'' (1.63 m),Taipei (Republic of China (Taiwan)),15th February 1976 (age 46),11th February 2005 (17 years ago),Yinling-sama,,,
3144,Len Olson,245 lbs. (111 kg) at 6'1'' (1.85 m),"Calgary, Alberta (Canada)",30th October 1968 (age 53),1988,Luther,,,
4348,unknown,,"Linz, Oberösterreich (Austria)",27th December 1960 (age 61),,Franz Schumann,,,
6119,Kurt Krueger,196 lbs. (89 kg) at 6'2'' (1.88 m),"Milwaukee, Wisconsin (United States of America)",21st June 1983 (age 38),23rd December 2000 (21 years ago),Dysfunction,,,
15954,Andrew Pulido,187 lbs. (85 kg) at 5'7'' (1.70 m),"Chula Vista, California (United States of America)",10th June 1987 (age 34),2007,YUMA,,,
