,Real Name,Weight and Height,Birthplace,Date of Birth,Debut,wrestler_name,Date of Death,Height,Weight
116,Lisa Mary Moretti,135 lbs. (61 kg) at 5'5'' (1.65 m),"Inglewood, California (United States of America)",26th November 1961 (age 60),1986,Ivory ,,,
1454,Kwak Gwang-ung,254 lbs. (115 kg) at 6'0'' (1.83 m),"Tokuyama, Yamaguchi (Japan)",3rd December 1951 (age 70),8th August 1974 (47 years ago),Riki Choshu,,,
3747,John Jay Sutton,,"Minneapolis, Minnesota (United States of America)",16th January 1949,1973,Sir Oliver Humperdink,20th March 2011,,
7081,Ariya Daivari,190 lbs. (86 kg) at 5'10'' (1.78 m),"Plymouth, Minnesota (United States of America)",11th April 1989 (age 32),26th September 2006 (15 years ago),Ariya Daivari,,,
8058,Matthew S. Hamill,205 lbs. (93 kg) at 6'1'' (1.85 m),"Loveland, Ohio (United States of America)",5th October 1976 (age 45),24th June 2006 (15 years ago),Matt Hamill,,,
28790,unknown,229 lbs. (104 kg) at 6'4'' (1.93 m),"Salzburg, Salzburg (Austria)",,2012,Julian Nero,,,
194,Michael Verdi,196 lbs. (89 kg) at 5'11'' (1.80 m),"Philadelphia, Pennsylvania (United States of America)",12th November 1980,20th May 1995 (26 years ago),Trent Acid,18th June 2010,,
2712,Salvador Munguia,198 lbs. (90 kg) at 5'8'' (1.73 m),"Ciudad de México, Ciudad de México (Mexico)",1970,1992,Tigre Infante,,,
1142,Michael Seitz,255 lbs. (116 kg) at 6'1'' (1.85 m),"Marietta, Georgia (United States of America)",29th March 1959 (age 62),1977,Michael Hayes,,,
27912,Cory James Weston,240 lbs. (109 kg) at 6'1'' (1.85 m),"San Marcos, Texas (United States of America)",4th September 1987 (age 34),??th May 2011,Westin Blake,,,
6141,Nicholas Aldis,240 lbs. (109 kg) at 6'4'' (1.93 m),"King's Lynn, Norfolk, England (United Kingdom)",6th November 1986 (age 35),2003,Nick Aldis,,,
980,Mary Louis Kanellis,120 lbs. (54 kg) at 5'7'' (1.70 m),"Ottawa, Illinois (United States of America)",25th February 1982 (age 40),4th November 2004 (17 years ago),Maria Kanellis ,,,
2815,Jaime Ignacio Tirado Correa,192 lbs. (87 kg) at 5'8'' (1.73 m),"Toluca, Estado de México (Mexico)",4th January 1974 (age 48),,Cuervo,,,
30939,Nikola Bogojevic,310 lbs. (141 kg) at 5'10'' (1.78 m),"Duluth, Minnesota (United States of America)",21st December 1991 (age 30),22nd August 2015 (6 years ago),Otis,,,
833,James Hines,220 lbs. (100 kg) at 5'10'' (1.78 m),"Columbus, Ohio (United States of America)",4th October 1961 (age 60),1978,Bobby Fulton,,,
6708,Mina Helèn Zachariassen,126 lbs. (57 kg) at 5'3'' (1.60 m),"Fredrikstad, Østfold (Norway)",14th August 1984 (age 37),2003,Miss Mina ,,,
22847,Damian McKeown,,"Birmingham, West Midlands, England (United Kingdom)",,,Chief Deputy Dunne,,,
27665,Brittany Fetkin,115 lbs. (52 kg) at 5'4'' (1.63 m),"San Diego, California (United States of America)",3rd February 1988 (age 34),,Devin Taylor ,,,
208,Darren Lee McMillan,207 lbs. (94 kg) at 5'11'' (1.80 m),"Los Angeles, California (United States of America)",21st November 1969,1990,Dynamite D,11th April 2007,,
849,Leonce Cormier,,"Dorchester, New Brunswick (Canada)",29th June 1948 (age 73),1966,Leo Burke,,,
1595,Eric Henry Edward Tovey,110 lbs. (50 kg) at 4'1'' (1.24 m),"London, Greater London, England (United Kingdom)",3rd January 1929,,Lord Littlebrook,9th September 2016,,
2033,Yumiko Hotta,165 lbs. (75 kg) at 5'6'' (1.68 m),"Kobe, Hyogo (Japan)",10th January 1967 (age 55),4th July 1985 (36 years ago),Yumiko Hotta ,,,
3512,Philip Bedwell,225 lbs. (102 kg) at 6'0'' (1.83 m),"London, Greater London, England (United Kingdom)",3rd October 1978 (age 43),1998,Phil Bedwell,,,
3881,unknown,171 lbs. (78 kg) at 5'8'' (1.73 m),"Tipton, West Midlands, England (United Kingdom)",,2001,Jim Hunter,,,
5311,Kim Tinning,185 lbs. (84 kg) at 5'10'' (1.78 m),"Århus, Midtjylland (Denmark)",1973,2005,Chaos,,,
5468,Paul Tracey,220 lbs. (100 kg) at 6'2'' (1.88 m),"Bray, Wicklow (Ireland)",26th October 1979 (age 42),1999,Paul Tracey,,,
12424,Joe Warren,145 lbs. (66 kg) at 5'6'' (1.68 m),"Ann Arbor, Michigan (United States of America)",31st October 1976 (age 45),8th March 2009 (13 years ago),Joe Warren,,,
13037,Tim Scoggins,260 lbs. (118 kg) at 6'3'' (1.91 m),"Pine Bluff, Arkansas (United States of America)",18th February 1965 (age 57),2000,Tim Storm,,,
13203,Sven Laube,268 lbs. (122 kg) at 6'2'' (1.88 m),"Hamburg, Hamburg (Germany)",14th October 1992 (age 29),7th May 2009 (12 years ago),Kenny the Kid,,,
22168,unknown,,United Kingdom,,,Brad Slayer,,,
24408,Waseem Azem,271 lbs. (123 kg) at 5'11'' (1.80 m),Israel,,,Hakeem Waqur,,,
28654,Axel Halbach,163 lbs. (74 kg) at 5'9'' (1.75 m),Nordrhein-Westfalen (Germany),,24th March 2013 (8 years ago),The Rotation,,,
736,Salvador Guerrero Llanes,229 lbs. (104 kg) at 5'11'' (1.80 m),"El Paso, Texas (United States of America)",7th January 1949,??th December 1968,Chavo Guerrero,11th February 2017,,
729,Shiro Koshinaka,232 lbs. (105 kg) at 6'1'' (1.85 m),"Tokyo, Tokyo (Japan)",4th September 1958 (age 63),5th March 1979 (43 years ago),Shiro Koshinaka,,,
2614,Devon Nicholson,307 lbs. (139 kg) at 6'4'' (1.93 m),"Ottawa, Ontario (Canada)",16th October 1982 (age 39),,Blood Hunter,,,
1873,Jacob Christopher Ortiz,205 lbs. (93 kg) at 6'2'' (1.88 m),"Huntington Beach, California (United States of America)",23rd January 1975 (age 47),30th May 1997 (24 years ago),Tito Ortiz,,,
2444,Jorge Arias,210 lbs. (95 kg) at 5'10'' (1.78 m),"El Paso, Texas (United States of America)",5th August 1977 (age 44),21st November 1999 (22 years ago),Cinta de Oro,,,
7215,Jack Rea,220 lbs. (100 kg) at 6'3'' (1.91 m),"Liverpool, Merseyside, England (United Kingdom)",8th August 1990 (age 31),2007,Zack Gibson,,,
561,Eddy Dorozowsky,195 lbs. (88 kg) at 6'1'' (1.85 m),"Montréal, Quebec (Canada)",13th April 1978 (age 43),??th April 1998,Sexxxy Eddy,,,
5477,Paul Dew,225 lbs. (102 kg) at 5'10'' (1.78 m),"London, Greater London, England (United Kingdom)",17th June 1977 (age 44),1998,Ashe,,,
7540,Thiago Anderson Ramos da Silva,205 lbs. (93 kg) at 6'1'' (1.85 m),"São Paulo, São Paulo (Brazil)",12th November 1982 (age 39),10th September 2005 (16 years ago),Thiago Silva,,,
7778,Matthew Burton Brown,170 lbs. (77 kg) at 6'0'' (1.83 m),"Xenia, Ohio (United States of America)",10th January 1981 (age 41),8th October 2005 (16 years ago),Matt Brown,,,
19734,Patrick Justin McAfee,233 lbs. (106 kg) at 6'1'' (1.85 m),"Plum, Pennsylvania (United States of America)",2nd May 1987 (age 34),22nd March 2009 (12 years ago),Pat McAfee,,,
31124,Charly Arnolt,,"Indianapolis, Indiana (United States of America)",14th July 1987 (age 34),??th July 2016,Charly Caruso,,5'2'' (1.57 m),
197,Nicholas W. Wilson,235 lbs. (107 kg) at 5'11'' (1.80 m),"Philadelphia, Pennsylvania (United States of America)",22nd September 1980 (age 41),13th February 1999 (23 years ago),Nick Gage,,,
1584,Akihisa Mera,240 lbs. (109 kg) at 5'10'' (1.78 m),"Nobeoka, Miyazaki (Japan)",8th September 1948 (age 73),31st October 1964 (57 years ago),The Great Kabuki,,,
1759,Ricardo Fuentes Romero,174 lbs. (79 kg) at 5'7'' (1.70 m),"Veracruz, Veracruz de Ignacio de la Llave (Mexico)",8th January 1980 (age 42),9th May 1995 (26 years ago),Ricky Marvin,,,
77,Sean Allen Morley,260 lbs. (118 kg) at 6'3'' (1.91 m),"Oakville, Ontario (Canada)",6th March 1971 (age 51),1994,Sean Morley,,,
3,Troy Shane Martin,250 lbs. (113 kg) at 6'1'' (1.85 m),"Pittsburgh, Pennsylvania (United States of America)",21st November 1964 (age 57),1982,Shane Douglas,,,
16468,Kim Marcel Stübner,220 lbs. (100 kg) at 5'7'' (1.70 m),"Dortmund, Nordrhein-Westfalen (Germany)",24th July 1986 (age 35),2009,Kim Ray,,,
21451,Shaun Ricker,230 lbs. (104 kg) at 6'1'' (1.85 m),"Hagerstown, Maryland (United States of America)",11th November 1982 (age 39),2003,LA Knight,,,
267,Kelvin Ramírez,190 lbs. (86 kg) at 5'9'' (1.75 m),"New York City, New York (United States of America)",28th November 1979 (age 42),2000,Joel Maximo,,,
861,Walter Paul Sieber,265 lbs. (120 kg) at 6'0'' (1.83 m),"Toronto, Ontario (Canada)",2nd October 1933,1952,Waldo Von Erich,5th July 2009,,
15404,Kevin Martenson,209 lbs. (95 kg) at 5'11'' (1.80 m),"Clark's Summit, Pennsylvania (United States of America)",29th September 1981 (age 40),,Kevin Martenson,,,
7671,Joe Buckton,235 lbs. (107 kg) at 6'0'' (1.83 m),"Loughborough, Leicestershire, England (United Kingdom)",28th May 1987 (age 34),2006,Joseph Conners,,,
2142,Jesús Parra Ramírez,209 lbs. (95 kg) at 5'9'' (1.75 m),"Gómez Palacio, Durango (Mexico)",11th January 1972 (age 50),25th December 1989 (32 years ago),Luciferno,,,
1514,William Crookshanks,214 lbs. (97 kg) at 5'7'' (1.70 m),"Melbourne, Victoria (Australia)",24th October 1943 (age 78),1967,Bill Dundee,,,
1797,James Williams,235 lbs. (107 kg) at 5'10'' (1.78 m),"Tampa, Florida (United States of America)",25th September 1952 (age 69),1st November 1968 (53 years ago),Jimmy Garvin,,,
798,Jason Spence,215 lbs. (98 kg) at 5'11'' (1.80 m),"Fairfax, Virginia (United States of America)",13th April 1977 (age 44),1994,Christian York,,,
11268,Miguel Ángel Chávez Velasco,172 lbs. (78 kg) at 5'10'' (1.78 m),"Gómez Palacio, Durango (Mexico)",21st March 1988 (age 33),14th July 2005 (16 years ago),Ángel de Oro,,,
165,Shannon Brian Moore,175 lbs. (79 kg) at 5'9'' (1.75 m),"Cameron, North Carolina (United States of America)",27th July 1979 (age 42),8th April 1995 (26 years ago),Shannon Moore,,,
251,Carl Joseph Yvon Ouellet,300 lbs. (136 kg) at 6'1'' (1.85 m),"Sainte-Catherine, Quebec (Canada)",30th December 1967 (age 54),1987,PCO,,,
488,Ronald Grams,176 lbs. (80 kg) at 5'10'' (1.78 m),Pennsylvania (United States of America),26th July 1982 (age 39),25th May 2002 (19 years ago),Icarus,,,
1121,Marc Roudin,167 lbs. (76 kg) at 5'6'' (1.68 m),Switzerland,8th December ???,26th January 2002 (20 years ago),Marc Roudin,,,
3168,Seiji Goto,331 lbs. (150 kg) at 5'10'' (1.78 m),"Shimada, Shizuoka (Japan)",16th August 1963 (age 58),19th February 1981 (41 years ago),Tarzan Goto,,,
3760,David Minton,315 lbs. (143 kg) at 5'9'' (1.75 m),"Birmingham, West Midlands, England (United Kingdom)",21st July 1984 (age 37),4th May 2002 (19 years ago),Dave Mastiff,,,
7369,Steve Wilson,400 lbs. (181 kg) at 6'6'' (1.98 m),"Hell, Michigan (United States of America)",10th August 1979 (age 42),,Kongo Kong,,,
3127,Markus Seemann,,Germany,,7th July 2007 (14 years ago),Markus Seemann,,,
7045,unknown,170 lbs. (77 kg) at 5'6'' (1.68 m),"Hammonton, New Jersey (United States of America)",18th November 1984 (age 37),8th September 2007 (14 years ago),Alex Colon,,,
2192,Mark Johnson,,"Atlanta, Georgia (United States of America)",1968,1998,Mark Johnson,,,
2222,Shuhei Taniguchi,220 lbs. (100 kg) at 6'0'' (1.83 m),"Kurayoshi, Tottori (Japan)",18th October 1976 (age 45),24th December 2005 (16 years ago),King Tani,,,
2641,Richard Joseph Garza,265 lbs. (120 kg) at 6'1'' (1.85 m),United States of America,16th July 1931,,Mighty Igor,7th January 2002,,
2900,Jesús Villalobos Torres,,"Monterrey, Nuevo León (Mexico)",17th February 1969 (age 53),3rd June 1988 (33 years ago),Tigre Universitario,,5'7'' (1.70 m),
3040,Louis Gino Acocella,236 lbs. (107 kg) at 5'10'' (1.78 m),"Montréal, Quebec (Canada)",18th May 1941 (age 80),1959,Gino Brito,,,
5609,unknown,190 lbs. (86 kg) at 5'10'' (1.78 m),"Redcar, North Yorkshire, England (United Kingdom)",13th October 1985 (age 36),,Chris Whitton,,,
5777,Iestyn John Rees,240 lbs. (109 kg) at 6'3'' (1.91 m),"Gloucester, Gloucestershire, England (United Kingdom)",,,Iestyn Rees,,,
10591,Seth Petruzelli,205 lbs. (93 kg) at 6'0'' (1.83 m),"Cape Coral, Florida (United States of America)",3rd December 1979 (age 42),26th August 2000 (21 years ago),Seth Petruzelli,,,
585,unknown,450 lbs. (204 kg) at 6'1'' (1.85 m),,,,Iceberg,,,
757,Dorrel Dixon,209 lbs. (95 kg) at 5'9'' (1.75 m),Jamaica,1st February 1935 (age 87),1954,Dory Dixon,,,
1163,Seth Delay,180 lbs. (82 kg) at 5'10'' (1.78 m),"Cornelia, Georgia (United States of America)",1985,2001,Seth Delay,,,
2294,Thomas Farra,218 lbs. (99 kg) at 5'11'' (1.80 m),"Philadelphia, Pennsylvania (United States of America)",,??th April 1999,Tommy Suede,,,
2745,Yoshihiro Sakai,198 lbs. (90 kg) at 5'11'' (1.80 m),"Niigata, Niigata (Japan)",5th November 1977 (age 44),20th June 2002 (19 years ago),Super Sasadango Machine,,,
2899,unknown,203 lbs. (92 kg) at 5'8'' (1.73 m),"Tonalá, Jalisco (Mexico)",1st October ???,1st October 1995 (26 years ago),Mr. Trueno,,,
3660,Joey Carolan,200 lbs. (91 kg) at 5'8'' (1.73 m),"Fort Erie, Ontario (Canada)",,1995,Joey Knight,,,
4602,Janine Schnaars,121 lbs. (55 kg) at 5'7'' (1.70 m),"Bremen, Bremen (Germany)",23rd April 1987 (age 34),,Lory ,,,
5860,unknown,231 lbs. (105 kg) at 6'5'' (1.96 m),"Hertfordshire, England (United Kingdom)",,,Jonathan Hardwick,,,
7106,Latoya Allsopp,,"Boston, Massachusetts (United States of America)",27th September 1987 (age 34),,Luscious Latasha ,,,
7450,Eddie Orengo,,"Newark, New Jersey (United States of America)",,,Bandido Jr.,,,
7510,William A. Borders,,,26th June 1932,13th October 1955 (66 years ago),Jim Grabmire,24th November 1999,,241 lbs. (109 kg)
10095,Raymond Kessler,,"New Rochelle, New York (United States of America)",,,The Haiti Kid,,,
10416,Kazuo Misaki,185 lbs. (84 kg) at 5'10'' (1.78 m),"Katori, Chiba (Japan)",25th April 1976 (age 45),5th May 2001 (20 years ago),Kazuo Misaki,,,
10940,Jorge Masvidal,155 lbs. (70 kg) at 5'10'' (1.78 m),"Miami, Florida (United States of America)",12th November 1984 (age 37),24th May 2003 (18 years ago),Jorge Masvidal,,,
12728,Dallas David Bulmer,190 lbs. (86 kg) at 6'1'' (1.85 m),"Topeka, Kansas (United States of America)",15th August 1989,19th August 2007 (14 years ago),Crisstopher Crow,22nd June 2011,,
12754,Cole Escovedo,135 lbs. (61 kg) at 5'8'' (1.73 m),"Fresno, California (United States of America)",30th August 1981 (age 40),4th October 2001 (20 years ago),Cole Escovedo,,,
19342,unknown,46 lbs. (21 kg) at 4'0'' (1.22 m),"Tokyo, Tokyo (Japan)",4th February 2002 (age 20),23rd January 2011 (11 years ago),HARUKA ,,,
24470,Stewart Shephard,185 lbs. (84 kg) at 5'11'' (1.80 m),"Kent, England (United Kingdom)",,,Mountain Stew,,,
25512,Aaron Henry,231 lbs. (105 kg) at 5'11'' (1.80 m),"Auckland, Auckland (New Zealand)",5th August 1992 (age 29),2010,Aaron Henare,,,
26141,Mario Yamasaki,,"São Paulo, São Paulo (Brazil)",22nd April 1964 (age 57),,Mario Yamasaki,,,
29031,unknown,185 lbs. (84 kg) at 5'11'' (1.80 m),California (United States of America),19th December ???,2008,Mariachi Loco,,,
30462,unknown,204 lbs. (93 kg) at 6'0'' (1.83 m),,,2013,Roy Johnson,,,
30792,unknown,,,,2014,El Fuego del Sol,,,
35128,Norman Halberschmidt,200 lbs. (91 kg) at 6'5'' (1.96 m),"Rüthen, Nordrhein-Westfalen (Germany)",28th November 1996 (age 25),21st July 2018 (3 years ago),Norman Harras,,,
868,Gerard Ethifier,240 lbs. (109 kg) at 6'0'' (1.83 m),Martinique,10th September 1949 (age 72),1971,Gerry Morrow,,,
945,Kazushi Miyamoto,212 lbs. (96 kg) at 5'11'' (1.80 m),"Futaba, Fukushima (Japan)",22nd February 1979 (age 43),19th August 2001 (20 years ago),Kazushi Miyamoto,,,
1324,unknown,194 lbs. (88 kg) at 5'9'' (1.75 m),"San Luis Potosí, San Luis Potosí (Mexico)",20th May 1966 (age 55),20th April 1989 (32 years ago),Maniaco,,,
1493,Ryan Mader,232 lbs. (105 kg) at 5'11'' (1.80 m),"Enfield, Nova Scotia (Canada)",18th March 1982 (age 39),27th October 2000 (21 years ago),Lincoln Steen,,,
