,Real Name,Birthplace,Date of Birth,Date of Death,wrestler_name,Debut,Weight,Weight and Height,Height
8985,Henry Pulasco,Mexico,,,Henry Pulasco,1951,,215 lbs. (98 kg) at 5'10'' (1.78 m),
8986,unknown,Mexico,,,El Calavera #1,,,,
8988,José Pérez,Mexico,,,Hermano Muerte #2,,,,
8989,Roman Zacarias,Mexico,,18th May 2020,Sangre Fría,,,,
8990,Johnny Rees,"Indianapolis, Indiana (United States of America)",,,Johnny Rees,21st October 2005 (16 years ago),,170 lbs. (77 kg) at 6'0'' (1.83 m),
8991,Nathaniel James Loughran,"Rohnert Park, California (United States of America)",,,Nate Loughran,8th April 2006 (15 years ago),,185 lbs. (84 kg) at 6'2'' (1.88 m),
8993,James Giboo,"Yale, Iowa (United States of America)",6th January 1978 (age 44),,James Giboo,25th June 2004 (17 years ago),,170 lbs. (77 kg) at 5'11'' (1.80 m),
8995,Brodie Kyle Farber,"Grass Valley, California (United States of America)",5th July 1980 (age 41),,Brodie Farber,8th December 2002 (19 years ago),,170 lbs. (77 kg) at 6'1'' (1.85 m),
8996,Dale Hartt,"Bangor, Maine (United States of America)",,,Dale Hartt,11th December 2004 (17 years ago),,155 lbs. (70 kg) at 5'8'' (1.73 m),
8997,Shannon Kevin Gugerty,"San Diego, California (United States of America)",30th December 1981 (age 40),,Shannon Gugerty,25th July 2004 (17 years ago),,155 lbs. (70 kg) at 5'10'' (1.78 m),
9000,unknown,,,,Willie Urbina,,,,
9001,Kimberly Whitehead,"Clermont, Florida (United States of America)",2nd December ???,,Kimberly ,2007,,,5'6'' (1.68 m)
9009,unknown,"Coaticook, Quebec (Canada)",7th April 1965 (age 56),,Ludger Proulx,,,,
9010,unknown,Port-au-Prince (Haiti),,,The Falcon,1990,,235 lbs. (107 kg) at 6'1'' (1.85 m),
9011,unknown,"Fort Lauderdale, Florida (United States of America)",,,Kolby Stern,2006,,170 lbs. (77 kg) at 5'11'' (1.80 m),
9013,unknown,"Coral Springs, Florida (United States of America)",,,Andrew Wolf,2006,,218 lbs. (99 kg) at 6'0'' (1.83 m),
9014,unknown,"Boca Raton, Florida (United States of America)",,,Amy Vitale,1998,,118 lbs. (54 kg) at 5'6'' (1.68 m),
9017,William Perry,"Aiken, South Carolina (United States of America)",16th December 1962 (age 59),,William Perry,7th April 1986 (35 years ago),,380 lbs. (172 kg) at 6'2'' (1.88 m),
9018,unknown,"San Diego, California (United States of America)",12th December 1974 (age 47),,Under Pressure,,,215 lbs. (98 kg) at 5'10'' (1.78 m),
9020,unknown,,,,Tyler Jacobs,,,225 lbs. (102 kg) at 5'10'' (1.78 m),
9021,unknown,North Dakota (United States of America),,,Vendetta,,,210 lbs. (95 kg) at 5'11'' (1.80 m),
9022,unknown,,,,Jay Violence,,,145 lbs. (66 kg) at 5'7'' (1.70 m),
9025,unknown,"Newcastle, New South Wales (Australia)",10th January 1988 (age 34),,Harley Wonderland ,20th October 2007 (14 years ago),,152 lbs. (69 kg) at 5'6'' (1.68 m),
9026,unknown,"Clearwater, Florida (United States of America)",12th October ???,,Vizzion,15th September 2001 (20 years ago),,230 lbs. (104 kg) at 6'1'' (1.85 m),
9027,Televise Masalosalo,American Samoa,2nd April 1973,20th December 2020,Skulu,13th March 2002 (20 years ago),,312 lbs. (142 kg) at 5'9'' (1.75 m),
9029,unknown,,,,Apocalypse,,,330 lbs. (150 kg) at 6'8'' (2.03 m),
9030,Lamar Tinnin,"Staley, North Carolina (United States of America)",29th August 1973 (age 48),,Sabbath,,,256 lbs. (116 kg) at 6'3'' (1.91 m),
9031,unknown,"Fresno, California (United States of America)",22nd September 1970 (age 51),,Marshall Knox,,,240 lbs. (109 kg) at 6'1'' (1.85 m),
9032,unknown,"Rancho Cucamonga, California (United States of America)",1st April 1967 (age 54),,Ruckus,,,305 lbs. (138 kg) at 6'6'' (1.98 m),
9037,unknown,,,,Mitzi Mueller ,,,,
9039,unknown,"Calgary, Alberta (Canada)",12th August 1976 (age 45),,Kid Vicious,,,200 lbs. (91 kg) at 5'10'' (1.78 m),
9040,unknown,"San Bernardino, California (United States of America)",18th September 1981 (age 40),,Andrew Hellman,,,190 lbs. (86 kg) at 5'9'' (1.75 m),
9041,unknown,"Chilliwack, British Columbia (Canada)",,,Major Hardway,??th January 1999,,197 lbs. (89 kg) at 5'9'' (1.75 m),
9042,unknown,Quebec (Canada),,,Damian Steele,,,,
9044,Dmitry Masarsky,"Moskwa, Moskwa (Russia)",26th April 1983 (age 38),,Shawn Riddick,,,215 lbs. (98 kg) at 5'11'' (1.80 m),
9045,unknown,"Inglewood, California (United States of America)",3rd October 1984 (age 37),,Lionheart,,,125 lbs. (57 kg) at 5'6'' (1.68 m),
9046,Drew Fickett,"Tucson, Arizona (United States of America)",14th December 1979 (age 42),,Drew Fickett,7th April 1999 (22 years ago),,170 lbs. (77 kg) at 5'10'' (1.78 m),
9047,Tony Hajihannas,"Nikosia, Nikosia (Cyprus)",3rd February 1941 (age 81),,Tony Costas,,,,
9048,unknown,Jamaica,,,Clive Myers,1970,,,
9051,unknown,India,1942,4th April 2012,Prince Mann Singh,,,,
9052,Johan August Carlen,Sweden,1st August 1903,29th January 1998,Johnny Carlin,,,210 lbs. (95 kg) at 5'5'' (1.65 m),
9058,unknown,"London, Greater London, England (United Kingdom)",,,John Elijah,1970,238 lbs. (108 kg),,
9059,John Anthony Sheehan,"Royal Leamington Spa, Warwickshire, England (United Kingdom)",25th September 1949 (age 72),,Tony Walsh,1974,,,
9060,unknown,"Johnstone, Renfrewshire, Scotland (United Kingdom)",10th May 1985 (age 36),,Owen Edwards,,,214 lbs. (97 kg) at 6'0'' (1.83 m),
9061,unknown,"Glasgow, Glasgow, Scotland (United Kingdom)",,,Glen Dunbar,,,187 lbs. (85 kg) at 6'0'' (1.83 m),
9062,unknown,"Uddingston, South Lanarkshire, Scotland (United Kingdom)",,,Strak,2006,,169 lbs. (77 kg) at 5'9'' (1.75 m),
9063,unknown,,,,Stuart Kemp,1992,,,
9065,Martin Buttgereit,,,,Colin McNamara,,,,
9069,unknown,,,,Crazy Davey,,,,
9077,unknown,,,,Mario Neumann,,,,
9081,Rico Mecke,Germany,,,Thunderstorm,,,,
9087,Richard C. Arpin,,13th June 1965 (age 56),,Awesome Arpin,,,315 lbs. (143 kg) at 6'0'' (1.83 m),
9089,Michael Eugene Lydia,"Clinton, South Carolina (United States of America)",10th February 1956,17th October 2009,Mike Fever,,,,
9093,unknown,"Glasgow, Glasgow, Scotland (United Kingdom)",,,Johnny Darko,2004,,212 lbs. (96 kg) at 6'1'' (1.85 m),
9094,unknown,Minsk (Belarus),,,Killian,2007,,345 lbs. (156 kg) at 6'6'' (1.98 m),
9095,unknown,"Glasgow, Glasgow, Scotland (United Kingdom)",,,Kolobos,,,260 lbs. (118 kg) at 6'2'' (1.88 m),
9097,unknown,"Glasgow, Glasgow, Scotland (United Kingdom)",,,Lady Luck,,,,
9098,Frank Melson,,,,Frank Melson,,,355 lbs. (161 kg) at 6'2'' (1.88 m),
9099,unknown,United Kingdom,,,Tom Rigby,,182 lbs. (83 kg),,
9101,unknown,France,,,Bobby Hostile,,,,5'10'' (1.78 m)
9102,unknown,,,,Jimmy Simms,,,,
9103,unknown,,,,Titan Tower,,,,
9106,unknown,,,,Bruiser Bastein,,,,
9107,unknown,,,,Rodney Blackbeard,,,260 lbs. (118 kg) at 6'5'' (1.96 m),
9110,Richard Faraci,"Vancouver, British Columbia (Canada)",1958,14th August 2015,Rick Faraci,,,,
9111,unknown,,,,Tyrone Ironside,,,,
9113,Marty Stoult,,,,Katana,,,,
9115,unknown,,,,Akam Singh,,,,
9117,unknown,Newfoundland and Labrador (Canada),,,Batty Bat,22nd January 1995 (27 years ago),,,6'0'' (1.83 m)
9118,unknown,"Toronto, Ontario (Canada)",5th May 1976 (age 45),,Markus Ryan,1993,,230 lbs. (104 kg) at 5'10'' (1.78 m),
9119,unknown,Canada,,,Corporal Chaos,2001,,245 lbs. (111 kg) at 6'0'' (1.83 m),
9120,Germain Wilson,"Toronto, Ontario (Canada)",5th May ???,,JQ Publik,??th May 1998,,226 lbs. (103 kg) at 6'2'' (1.88 m),
9121,unknown,"Lancashire, England (United Kingdom)",,,Tally Ho Kaye,,,,
9124,unknown,"Chetumal, Quintana Roo (Mexico)",,,Neurosis,1998,,209 lbs. (95 kg) at 5'5'' (1.65 m),
9126,unknown,Mexico,,,El Gato Nocturno,??th November 1992,,,
9129,unknown,"Nogales, Sonora (Mexico)",30th January 1961 (age 61),,El Sol del Oriente,,,,5'10'' (1.78 m)
9131,Arturo Valeriano,Mexico,25th April 1978 (age 43),,Halcón Dos Mil,,,,
9136,Arturo García,Mexico,1939,7th June 2008,Dr. Zeta,,,,
9137,José Víctor Carrera Estrada,Mexico,1982,,Black Diamond,,,,
9138,unknown,Mexico,,,Júpiter,,,,
9140,Chuck LeGrande,"Charlotte, North Carolina (United States of America)",??th November 1972,,Mr. Mac,1995,,239 lbs. (108 kg) at 5'10'' (1.78 m),
9142,Craig Jeffery,Ontario (Canada),,,Cinder,27th October 2000 (21 years ago),,185 lbs. (84 kg) at 5'10'' (1.78 m),
9144,Federico Di Stefano,"Genova, Liguria (Italy)",13th June 1981 (age 40),,Diablo Amarillo,??th July 2001,,185 lbs. (84 kg) at 5'11'' (1.80 m),
9147,Joseph Nawrocki,,4th August 1907,3rd August 1978,Joe Nawrocki,,,,
9148,unknown,"Verona, Veneto (Italy)",,,Massimo Panico,11th December 2004 (17 years ago),,209 lbs. (95 kg) at 5'6'' (1.68 m),
9150,unknown,Italy,,,Black Jack,21st January 2006 (16 years ago),,194 lbs. (88 kg) at 5'11'' (1.80 m),
9151,unknown,"Venaria Reale, Piemonte (Italy)",,,AV1,18th August 2007 (14 years ago),,154 lbs. (70 kg) at 5'8'' (1.73 m),
9152,unknown,Italy,,,Doblone,24th November 2007 (14 years ago),,165 lbs. (75 kg) at 5'7'' (1.70 m),
9153,unknown,Italy,,,Hillbilly Timmy,13th October 2007 (14 years ago),,121 lbs. (55 kg) at 5'7'' (1.70 m),
9154,unknown,"Torino, Piemonte (Italy)",,,Il Corvo Bianco,23rd March 2003 (18 years ago),,159 lbs. (72 kg) at 6'0'' (1.83 m),
9156,unknown,Italy,,,La Fenice Rossa,28th May 2005 (16 years ago),,143 lbs. (65 kg) at 5'9'' (1.75 m),
9157,unknown,"Pavia, Lombardia (Italy)",,,Steven Strike,21st January 2006 (16 years ago),,216 lbs. (98 kg) at 5'11'' (1.80 m),
9158,unknown,"Curitiba, Paraná (Brazil)",,,Marcio Silva,22nd April 2007 (14 years ago),,243 lbs. (110 kg) at 6'5'' (1.96 m),
9159,unknown,"Gorizia, Friuli-Venezia Giulia (Italy)",,,DJ Skualo,9th June 2007 (14 years ago),,265 lbs. (120 kg) at 6'7'' (2.01 m),
9160,unknown,"Pavia, Lombardia (Italy)",,,Luca Zella,21st January 2006 (16 years ago),,143 lbs. (65 kg) at 5'7'' (1.70 m),
9161,Pietro Bovesecco,"Rovigo, Veneto (Italy)",,,Shock,13th October 2007 (14 years ago),,225 lbs. (102 kg) at 6'1'' (1.85 m),
9162,unknown,"Bergamo, Lombardia (Italy)",,,Goran Il Barbaro,24th June 2007 (14 years ago),,231 lbs. (105 kg) at 5'10'' (1.78 m),
9163,unknown,Italy,,,Zero,13th October 2007 (14 years ago),,198 lbs. (90 kg) at 6'0'' (1.83 m),
9164,unknown,"Bergamo, Lombardia (Italy)",,,Leon,9th June 2007 (14 years ago),,159 lbs. (72 kg) at 5'10'' (1.78 m),
9165,unknown,"Rimini, Emilia-Romagna (Italy)",,,Manuel Majoli,23rd July 2001 (20 years ago),,190 lbs. (86 kg) at 5'8'' (1.73 m),
9166,unknown,Italy,,,Ape Atomica #2,24th November 2007 (14 years ago),,150 lbs. (68 kg) at 5'8'' (1.73 m),
9167,unknown,Italy,,,Lamento,9th June 2007 (14 years ago),,154 lbs. (70 kg) at 5'10'' (1.78 m),
9168,Yoshihiro Momota,,15th March 1946,22nd November 2000,Yoshihiro Momota,,,,
9169,Carl Ognibene,"Winter Haven, Florida (United States of America)",25th January 1970 (age 52),,Carl Greco,19th February 1993 (29 years ago),,185 lbs. (84 kg) at 5'11'' (1.80 m),
9171,unknown,"Winnipeg, Manitoba (Canada)",1st July 1958 (age 63),,Tom Magee,,,275 lbs. (125 kg) at 6'5'' (1.96 m),
9174,unknown,Mexico,13th August 1978 (age 43),,Black Heart,,,,
9175,unknown,Mexico,,,El Espectro,,,,
9178,unknown,"Guadalajara, Jalisco (Mexico)",,,Trueno,1985,,,
9179,unknown,Guanajuato (Mexico),,,Hombre Águila,,,,5'3'' (1.60 m)
9180,unknown,Quintana Roo (Mexico),,,Jungla Verde,,,,
9181,unknown,Mexico,,,Hoovold,,,190 lbs. (86 kg) at 5'9'' (1.75 m),
9182,unknown,Mexico,31st August 1987 (age 34),,La Hormiga,,,176 lbs. (80 kg) at 5'11'' (1.80 m),
9183,unknown,United Kingdom,1954,,Len Davies,,,,
9184,unknown,,,,Tiger Jim DeLisle,,,,
9185,unknown,,,,Jack Drastic,,,236 lbs. (107 kg) at 6'0'' (1.83 m),
9187,Cory R. Carey,"Phoenix, Arizona (United States of America)",21st August 1979 (age 42),,Tommy Drake,12th December 2000 (21 years ago),,235 lbs. (107 kg) at 6'4'' (1.93 m),
9190,Joseph Alexander LaCreta,"Somerville, Massachusetts (United States of America)",,30th June 2013,Joe LaCreta,,,,
9191,Alan Tasker,"Irlam, Greater Manchester, England (United Kingdom)",13th January 1986 (age 36),,Alan Alan Alan Tasker,,183 lbs. (83 kg),,
9195,James Dudley,,12th May 1910,26th May 2004,James Dudley,,,,
9196,unknown,,,,Benny Ginsberg,,,,
9197,unknown,Newfoundland and Labrador (Canada),,,Ken Bond,,,190 lbs. (86 kg) at 6'0'' (1.83 m),
9198,unknown,South Carolina (United States of America),10th July 1985 (age 36),,Brandon Paradise,,,,
9199,unknown,"Mansfield, Nottinghamshire, England (United Kingdom)",3rd October 1983 (age 38),,Stevie Flint,,,210 lbs. (95 kg) at 6'2'' (1.88 m),
9200,Kevin Black,"Manchester, Greater Manchester, England (United Kingdom)",13th July 1983 (age 38),,Kev Noir,,,215 lbs. (98 kg) at 6'0'' (1.83 m),
9201,Gary Wesley,"Perth, Western Australia (Australia)",17th August 1986 (age 35),,Casey Hanson,2007,,215 lbs. (98 kg) at 6'3'' (1.91 m),
9202,unknown,"Mansfield, Nottinghamshire, England (United Kingdom)",,,Shane Flint,,,272 lbs. (123 kg) at 6'1'' (1.85 m),
9204,unknown,United Kingdom,,,Dr. Devious,,,,
9205,Murray Downs,"Milton, Ontario (Canada)",22nd April 1950,29th April 1995,Little Bruiser,,,95 lbs. (43 kg) at 4'0'' (1.22 m),
9206,unknown,France,,,Bernard Vignal,,,,
9207,John Cretoria,Ohio (United States of America),31st July 1917,13th November 1976,John Cretoria,,,,
9208,George Kazuo Okamura,"Hood River, Oregon (United States of America)",11th October 1911,17th December 1973,Great Togo,,,220 lbs. (100 kg) at 5'6'' (1.68 m),
9209,unknown,"Pittsburgh, Pennsylvania (United States of America)",1921,1st January 1985,Herb Trawick,,,,
9210,unknown,Germany,19th December 1960 (age 61),,Hubert Numrich,,,297 lbs. (135 kg) at 6'7'' (2.01 m),
9211,Carl Eugene Wicks,"Peninsula, Ohio (United States of America)",15th February 1896,2nd October 1967,Tommy Marvin,,,215 lbs. (98 kg) at 5'10'' (1.78 m),
9213,Richards Phelps,,,12th May 2012,Gorgeous George Jr.,,,,
9214,unknown,United States of America,,24th September 1981,George Torontos,,,,
9215,Mimi Lesseos,,,,Magnificent Mimi ,,,,
9216,Wilfred Bath,,,1995,Willie Bath,,,,
9217,Clyde Hurle,Australia,6th March 1926,19th November 2002,Kangaroo Kennedy,,240 lbs. (109 kg),,
9218,Roberto Soto López,San Juan (Puerto Rico),1948,,Roberto Soto,1960,,235 lbs. (107 kg) at 5'10'' (1.78 m),
9219,unknown,,,,Duke Noble,,,,
9222,Ross Headon,,12th July 1940,30th June 1977,Ross Headon,,,,
9223,unknown,,,,Claude Gosselin,,,,
9227,Richard Lee Acevedo,,13th September 1970 (age 51),,Cuban Assassin,20th June 1989 (32 years ago),,220 lbs. (100 kg) at 5'7'' (1.70 m),
9228,unknown,"Sheffield, South Yorkshire, England (United Kingdom)",1983,,Marky B. Kraze,,,190 lbs. (86 kg) at 6'0'' (1.83 m),
9229,unknown,"Moskwa, Moskwa (Russia)",,,Regina,,,163 lbs. (74 kg) at 6'0'' (1.83 m),
9234,Terry Martin,"Chicago, Illinois (United States of America)",10th October 1980 (age 41),,Terry Martin,28th June 2003 (18 years ago),,185 lbs. (84 kg) at 5'8'' (1.73 m),
9237,Paul Lincoln,"Sydney, New South Wales (Australia)",,11th January 2011,Paul Lincoln,,,,
9239,unknown,Germany,,,The Punisher,21st June 2008 (13 years ago),,265 lbs. (120 kg) at 6'6'' (1.98 m),
9243,unknown,"Grimsby, Lincolnshire, England (United Kingdom)",,,Deano Linski,1998,,232 lbs. (105 kg) at 5'10'' (1.78 m),
9245,Mike Rose,"Rotherham, South Yorkshire, England (United Kingdom)",1981,,Mikey van Riot,,,,
9248,Gary Mason,"Liverpool, Merseyside, England (United Kingdom)",19th March 1984 (age 38),,Jiggy Walker,,,219 lbs. (99 kg) at 5'10'' (1.78 m),
9249,unknown,"Leeds, West Yorkshire, England (United Kingdom)",15th February 1985 (age 37),,Jak Domitrescu,,,,
9250,unknown,United Kingdom,,,Cameron Steele,,,,
9253,Edwin Stanton DeWees,"Florence, South Carolina (United States of America)",7th August 1982 (age 39),,Edwin Dewees,12th April 2000 (21 years ago),,185 lbs. (84 kg) at 6'1'' (1.85 m),
9254,Trenell Young,"Los Angeles, California (United States of America)",19th June 1976 (age 45),,Savant Young,6th June 1998 (23 years ago),,155 lbs. (70 kg) at 5'6'' (1.68 m),
9258,unknown,"Northamptonshire, England (United Kingdom)",,,Lucian,,,200 lbs. (91 kg) at 5'7'' (1.70 m),
9263,unknown,Austria,,,Blizard,,,185 lbs. (84 kg) at 5'8'' (1.73 m),
9264,Ferdinand Tucci,,,3rd July 1977,Pancho the Bull,,,,
9265,Kathy Stockton,"Edmonton, Alberta (Canada)",,,KC Houston ,12th October 1986 (35 years ago),,140 lbs. (64 kg) at 5'9'' (1.75 m),
9266,unknown,,,,Kitty Karson,,,,
9270,unknown,,,,Bob Tuck,,,,
9271,unknown,,,,Domenic Duval,,,,
9273,Wilfred Edward Caron,,8th February 1940,4th December 2004,Wilf Caron,,,,
9274,George Eakin,"Winnipeg, Manitoba (Canada)",19th September 1929,21st February 2010,George Eakin,1950,,218 lbs. (99 kg) at 6'0'' (1.83 m),
9279,Theodore Ernest Roebuck,"Hugo, Oklahoma (United States of America)",26th January 1906,8th June 1969,Tiny Roebuck,,,268 lbs. (122 kg) at 6'4'' (1.93 m),
9281,Mario Feltrini,,6th July ???,,Ricci Zanoni,,,185 lbs. (84 kg) at 5'9'' (1.75 m),
9282,unknown,"Wien, Wien (Austria)",,,Jusip Panic,24th June 2005 (16 years ago),,,
9283,Stuart Keith Charles Brown,"Prince Rupert, British Columbia (Canada)",,,The Mauler,3rd December 2000 (21 years ago),,324 lbs. (147 kg) at 6'1'' (1.85 m),
9284,unknown,,,,Ivan Crnkovic,,,,
9285,unknown,,,,Frenchy Champagne,,,,
9286,unknown,,,,Bill Antonation,,,,
9287,unknown,,,10th April 2017,Lloyd Antonation,,,,
9288,unknown,"Baie-Sainte-Anne, New Brunswick (Canada)",14th October 1929,6th January 2007,Yvon Durelle,1961,,,
9289,unknown,,,,Joe Tardi,,,,
9290,unknown,,,,Ed Tardi,,,,
9291,unknown,,,,Gerry Tardi,,,,
9293,Jane Edwards,British Columbia (Canada),,,Avalon ,,,,
9295,Jackie Baucom,,,,Strawberry Fields ,,,,
9296,unknown,"Guadalajara, Jalisco (Mexico)",21st August 1988 (age 33),,Ángel Astral,,,,
9297,Mark Sealy,"Oxford, Oxfordshire, England (United Kingdom)",,,Little Legs,2004,,,3'6'' (1.07 m)
9299,unknown,Illinois (United States of America),28th May 1958,??th October 2009,Terry Scholl,??th May 1980,,302 lbs. (137 kg) at 6'3'' (1.91 m),
9300,unknown,,26th January 1957,14th September 2012,Randy Brewer,,,,
9301,George Gulas,"Chattanooga, Tennessee (United States of America)",,,George Gulas,6th January 1974 (48 years ago),,,
9302,Michael Conrad Hull,"Rome, New York (United States of America)",31st March 1943,27th July 2010,Mike Hall,,,,
9303,Bob Alebi,,,,Count Drummer,,,,
9304,Tanya Lee Pope,California (United States of America),,11th May 1995,Tanya West ,,,,
9305,unknown,,,,Mike McManus,,,,
9306,unknown,,,,Ernie Mohammed,,,,
9307,Luis Dasa,Veracruz de Ignacio de la Llave (Mexico),,1st June 2020,Casanova,,,,
9308,Osamu Kawahara,"Chiba, Chiba (Japan)",12th September 1963 (age 58),,Osamu Tachihikari,26th March 1994 (27 years ago),,295 lbs. (134 kg) at 6'5'' (1.96 m),
9311,unknown,"Colchester, Essex, England (United Kingdom)",2nd August 1968 (age 53),,Steve Morocco,1989,200 lbs. (91 kg),,
9312,unknown,"London, Greater London, England (United Kingdom)",13th May 1967 (age 54),,Hugh Mungus,,,430 lbs. (195 kg) at 6'3'' (1.91 m),
9313,Bob Elandon,Kinshasa (Democratic Republic of the Congo),,,Bob Elandon,,,,
9314,Louie Elchinoff,Bulgaria,15th September 1903,8th August 1987,Louie Miller,,,192 lbs. (87 kg) at 5'9'' (1.75 m),
9315,unknown,,,,Moe Peak,,,,
9318,unknown,,,,Eddie Roberts,,,,
9319,Dan Rignati,,,,Terminator Riggs,,,,
9320,Doug Fisher,,,,Terminator Wolf,,,,
9321,unknown,,,,Dawn Marie ,,,,
9322,Dawn Francis,,,,Rosebud,,,,
9324,unknown,,,,Larry Jones,,,,
9327,unknown,"Nuevo Laredo, Tamaulipas (Mexico)",15th September 1992 (age 29),,Mini Laredo Kid,??th June 2006,,,
9328,José García,"Los Angeles, California (United States of America)",19th November 1985 (age 36),,José the Assistant,??th June 2007,,188 lbs. (85 kg) at 5'11'' (1.80 m),
9332,unknown,"Hampshire, England (United Kingdom)",19th February 1986 (age 36),,Matt Campbell,15th October 2005 (16 years ago),,,
9335,unknown,,,,Herman Schaefer,,,,
9337,unknown,"Montréal, Quebec (Canada)",29th October 1987 (age 34),,Justin White,28th May 2005 (16 years ago),,154 lbs. (70 kg) at 5'6'' (1.68 m),
9338,unknown,"Bray, Wicklow (Ireland)",,,Adam Abz,,,196 lbs. (89 kg) at 6'0'' (1.83 m),
9342,unknown,"Rothwell, Northamptonshire, England (United Kingdom)",,,Jamie Stirling,,,155 lbs. (70 kg) at 5'10'' (1.78 m),
9344,unknown,"Kildare, Kildare (Ireland)",20th September 1985 (age 36),,Justy,,,210 lbs. (95 kg) at 6'0'' (1.83 m),
9345,Michael Futa,"Toronto, Ontario (Canada)",1917,XXXX,Mike Futa,,,,
9348,unknown,"Kildare, Kildare (Ireland)",,,Danny Butler,,,207 lbs. (94 kg) at 6'2'' (1.88 m),
9351,unknown,,,,Evan Mariott,,,,
9355,Chris Lozanski,,,,Chris Lozansky,,,,
9357,unknown,,13th November 1975 (age 46),,Dale Mills,,,,
9358,Gary Williams,"Barnsley, South Yorkshire, England (United Kingdom)",6th May 1982 (age 39),,Gary Player,,,,5'9'' (1.75 m)
9359,unknown,"Pontefract, West Yorkshire, England (United Kingdom)",18th March 1987 (age 35),,Jason Genesis,,,201 lbs. (91 kg) at 6'0'' (1.83 m),
9360,unknown,"St. Petersburg, St. Petersburg (Russia)",22nd May 1969 (age 52),,Staz,,,225 lbs. (102 kg) at 5'11'' (1.80 m),
9361,unknown,Donezk (Ukraine),10th September 1970 (age 51),,Alec Prokushev,,,245 lbs. (111 kg) at 6'1'' (1.85 m),
9362,unknown,"Los Angeles, California (United States of America)",,,Nicolette,,,114 lbs. (52 kg) at 5'4'' (1.63 m),
9363,Daniel Edler,United Kingdom,6th May 1985 (age 36),,Daniel Edler,,,,
9364,unknown,"Loomis, California (United States of America)",15th October 1973 (age 48),,Kharma,,,135 lbs. (61 kg) at 5'1'' (1.55 m),
9365,unknown,"Burnsville, North Carolina (United States of America)",23rd September 1976 (age 45),,Nurse Cassie,,,107 lbs. (49 kg) at 5'4'' (1.63 m),
9366,unknown,,23rd December ???,,Anni King,,,135 lbs. (61 kg) at 6'0'' (1.83 m),
9367,Stevie Aaron,,22nd June 1979 (age 42),,Stevie Aaron,,,,
9369,unknown,"London, Greater London, England (United Kingdom)",,,John Hall,,,,
9371,unknown,United Kingdom,,,Tank,,,,
9374,unknown,"Swindon, Wiltshire, England (United Kingdom)",,,The Red Haired Loon,,,,
9375,Sean Noone,"Birmingham, West Midlands, England (United Kingdom)",1987,,Sean Midnight,,,210 lbs. (95 kg) at 5'11'' (1.80 m),
9377,Mark Brownhill,United Kingdom,6th June 1965 (age 56),,Ronin,,,340 lbs. (154 kg) at 6'3'' (1.91 m),
9378,unknown,"London, Greater London, England (United Kingdom)",,,G,,,170 lbs. (77 kg) at 5'7'' (1.70 m),
9383,unknown,United Kingdom,1st July 1984 (age 37),,Skarlett Venom ,27th January 2008 (14 years ago),,,
9387,unknown,Pennsylvania (United States of America),25th July 1985 (age 36),,Rebecca Payne ,,,,5'1'' (1.55 m)
9388,Jorge Castropola Valdes,Panama,1941,14th November 2011,Chamaco Castro,,,,
9389,unknown,Mexico,,,King Balam,,,,
9390,unknown,Mexico,11th April 1989 (age 32),,Ricky,2007,,,
9393,Wagnney Fabiano-Santos,"Río de Janeiro, Río de Janeiro (Brazil)",14th July 1975 (age 46),,Wagnney Fabiano,2nd June 2000 (21 years ago),,135 lbs. (61 kg) at 5'7'' (1.70 m),
9396,unknown,"West Columbia, South Carolina (United States of America)",12th July 1969 (age 52),,Johnny Flex,,,,
9398,unknown,"Graniteville, South Carolina (United States of America)",1983,,Josh Magnum,2001,,,5'10'' (1.78 m)
9399,unknown,,,,Roger Gleaton,,,,
9401,unknown,,,,Napoleon Stradiotti,,,,
9403,Jay Glazer,United States of America,26th December 1969 (age 52),,Jay Glazer,,,,
9404,Clem St. Louis,,,,Clem St. Louis,,,,
9405,Joseph Ambrose,"Lakewood, California (United States of America)",,,JJ Ambrose,12th November 2005 (16 years ago),,155 lbs. (70 kg) at 5'10'' (1.78 m),
9406,Fabio Nascimento,Brazil,,,Fabio Negão,21st October 2005 (16 years ago),170 lbs. (77 kg),,
9407,unknown,United Kingdom,,,J-Techno,,,,
9408,unknown,Denmark,,,Prince Mohammed,,,265 lbs. (120 kg) at 6'3'' (1.91 m),
9409,Stephan Petersen,Schleswig-Holstein (Germany),24th September 1984 (age 37),,S.P. Petersen,14th April 2007 (14 years ago),,243 lbs. (110 kg) at 6'6'' (1.98 m),
9412,Mike Brown,United Kingdom,20th October 1984 (age 37),,Mad Dog Myers,,265 lbs. (120 kg),,
9414,unknown,"New York City, New York (United States of America)",10th July 1910,12th August 1990,Eddie Newman,,,225 lbs. (102 kg) at 5'10'' (1.78 m),
9415,unknown,"Birmingham, West Midlands, England (United Kingdom)",,,Jim Brooks,,,265 lbs. (120 kg) at 6'0'' (1.83 m),
9416,Lee Hedges,"Northampton, Northamptonshire, England (United Kingdom)",19th September 1984 (age 37),,Dan Edge,2001,,,
9417,unknown,United Kingdom,,,Luke Axl,,,,
9419,Jordan Jarrett,United Kingdom,18th November 1987 (age 34),,Jordan Way,,218 lbs. (99 kg),,
9420,unknown,United Kingdom,,,Paul McSherry,,,,
9422,unknown,,,,René Light,,,176 lbs. (80 kg) at 6'0'' (1.83 m),
